Time_s   F0_Hz
0.022500   --undefined--
0.032500   --undefined--
0.042500   --undefined--
0.052500   --undefined--
0.062500   --undefined--
0.072500   --undefined--
0.082500   --undefined--
0.092500   --undefined--
0.102500   --undefined--
0.112500   --undefined--
0.122500   --undefined--
0.132500   --undefined--
0.142500   --undefined--
0.152500   --undefined--
0.162500   --undefined--
0.172500   --undefined--
0.182500   --undefined--
0.192500   --undefined--
0.202500   --undefined--
0.212500   --undefined--
0.222500   --undefined--
0.232500   --undefined--
0.242500   --undefined--
0.252500   --undefined--
0.262500   --undefined--
0.272500   --undefined--
0.282500   --undefined--
0.292500   --undefined--
0.302500   --undefined--
0.312500   --undefined--
0.322500   461.428011
0.332500   465.273825
0.342500   433.266777
0.352500   437.192619
0.362500   437.499566
0.372500   437.073860
0.382500   436.809347
0.392500   436.531632
0.402500   436.502586
0.412500   436.693269
0.422500   437.034282
0.432500   437.332193
0.442500   437.379394
0.452500   437.304611
0.462500   436.920126
0.472500   436.897926
0.482500   437.327528
0.492500   438.045297
0.502500   438.844584
0.512500   439.163211
0.522500   439.116590
0.532500   438.804069
0.542500   438.470752
0.552500   438.019897
0.562500   437.506477
0.572500   436.966009
0.582500   436.656167
0.592500   436.891874
0.602500   437.314063
0.612500   437.773305
0.622500   438.192445
0.632500   438.365955
0.642500   438.175108
0.652500   437.795734
0.662500   437.311797
0.672500   437.102540
0.682500   437.220687
0.692500   437.372149
0.702500   437.638505
0.712500   437.812337
0.722500   438.030481
0.732500   438.265921
0.742500   438.241161
0.752500   438.210282
0.762500   438.043399
0.772500   437.874379
0.782500   438.041196
0.792500   438.380620
0.802500   438.574762
0.812500   438.619713
0.822500   438.674428
0.832500   438.839243
0.842500   438.998803
0.852500   439.237029
0.862500   439.407831
0.872500   439.337832
0.882500   439.218004
0.892500   439.103626
0.902500   439.261868
0.912500   439.466892
0.922500   439.541109
0.932500   439.679007
0.942500   439.807478
0.952500   439.845240
0.962500   439.649185
0.972500   439.382151
0.982500   439.221879
0.992500   439.028617
1.002500   438.736609
1.012500   438.702787
1.022500   438.688285
1.032500   438.812472
1.042500   438.875469
1.052500   438.765958
1.062500   439.712133
1.072500   450.573483
1.082500   492.928659
1.092500   493.926391
1.102500   492.948618
1.112500   491.919701
1.122500   491.110077
1.132500   491.259145
1.142500   490.866879
1.152500   490.700158
1.162500   490.711051
1.172500   490.558314
1.182500   490.298219
1.192500   490.503646
1.202500   490.394064
1.212500   490.150083
1.222500   490.202641
1.232500   490.608040
1.242500   491.155198
1.252500   491.990775
1.262500   492.757374
1.272500   493.030394
1.282500   493.119951
1.292500   493.186553
1.302500   493.178951
1.312500   493.148033
1.322500   493.063559
1.332500   492.778205
1.342500   492.600510
1.352500   492.582071
1.362500   492.363047
1.372500   491.965696
1.382500   491.795165
1.392500   491.771436
1.402500   491.847981
1.412500   492.193644
1.422500   492.652897
1.432500   493.232743
1.442500   493.848690
1.452500   494.521063
1.462500   494.945982
1.472500   495.012199
1.482500   495.078425
1.492500   495.066998
1.502500   494.804179
1.512500   494.705987
1.522500   494.884751
1.532500   494.774312
1.542500   494.126762
1.552500   493.418548
1.562500   493.131701
1.572500   493.145671
1.582500   493.328476
1.592500   493.685226
1.602500   494.634998
1.612500   499.290495
1.622500   255.335314
1.632500   262.735097
1.642500   261.920088
1.652500   263.058268
1.662500   262.996871
1.672500   262.165761
1.682500   262.260878
1.692500   261.993131
1.702500   261.685140
1.712500   261.724355
1.722500   261.578262
1.732500   261.521126
1.742500   261.680155
1.752500   261.809038
1.762500   262.058818
1.772500   262.574004
1.782500   263.098483
1.792500   263.754569
1.802500   264.371443
1.812500   264.741953
1.822500   264.763944
1.832500   264.701818
1.842500   264.455917
1.852500   264.007308
1.862500   263.484138
1.872500   262.823394
1.882500   262.212978
1.892500   261.634200
1.902500   261.270971
1.912500   261.297549
1.922500   261.537373
1.932500   261.695681
1.942500   261.990736
1.952500   262.220507
1.962500   262.608184
1.972500   262.852461
1.982500   263.034471
1.992500   263.145203
2.002500   263.139419
2.012500   263.203768
2.022500   263.224175
2.032500   263.030329
2.042500   262.732374
2.052500   262.410411
2.062500   262.296993
2.072500   262.449612
2.082500   262.595575
2.092500   262.543348
2.102500   261.789378
2.112500   259.585905
2.122500   258.613505
2.132500   --undefined--
2.142500   331.767722
2.152500   332.114990
2.162500   331.535814
2.172500   330.542734
2.182500   330.184034
2.192500   330.058361
2.202500   330.086887
2.212500   330.052318
2.222500   330.126116
2.232500   330.243290
2.242500   330.235600
2.252500   330.243812
2.262500   330.279829
2.272500   330.236193
2.282500   330.283527
2.292500   330.338862
2.302500   330.372802
2.312500   330.406165
2.322500   330.510284
2.332500   330.660224
2.342500   330.752416
2.352500   330.770378
2.362500   330.787538
2.372500   330.802863
2.382500   330.829173
2.392500   330.826899
2.402500   330.834169
2.412500   330.874210
2.422500   330.934215
2.432500   330.992913
2.442500   331.093355
2.452500   331.198912
2.462500   331.334133
2.472500   331.422983
2.482500   331.518522
2.492500   331.569502
2.502500   331.638998
2.512500   331.665665
2.522500   331.489797
2.532500   331.235537
2.542500   331.044748
2.552500   330.699789
2.562500   330.329866
2.572500   329.903579
2.582500   329.251269
2.592500   329.344905
2.602500   329.715240
2.612500   217.468617
2.622500   214.737710
2.632500   212.138663
2.642500   209.019161
2.652500   414.159568
2.662500   413.522211
2.672500   413.366450
2.682500   413.504245
2.692500   413.460647
2.702500   413.049280
2.712500   412.142024
2.722500   411.471488
2.732500   411.320493
2.742500   411.636766
2.752500   411.968027
2.762500   412.245654
2.772500   412.404256
2.782500   412.531336
2.792500   412.663517
2.802500   412.732845
2.812500   412.901078
2.822500   413.102333
2.832500   413.083325
2.842500   413.146284
2.852500   413.280252
2.862500   413.418895
2.872500   413.504747
2.882500   413.537331
2.892500   413.578829
2.902500   413.620850
2.912500   413.766897
2.922500   414.088682
2.932500   414.351764
2.942500   414.411377
2.952500   414.350445
2.962500   414.522540
2.972500   414.668110
2.982500   414.909720
2.992500   415.162245
3.002500   415.274459
3.012500   415.406997
3.022500   415.517528
3.032500   415.428221
3.042500   415.253356
3.052500   415.184822
3.062500   415.362529
3.072500   415.445739
3.082500   415.657536
3.092500   415.789697
3.102500   415.932074
3.112500   416.142661
3.122500   416.163103
3.132500   415.962229
3.142500   415.865061
3.152500   416.252876
3.162500   422.074264
3.172500   434.607251
3.182500   439.639368
3.192500   440.025844
3.202500   437.648783
3.212500   436.518895
3.222500   436.560867
3.232500   436.430809
3.242500   436.204556
3.252500   436.149574
3.262500   436.098046
3.272500   436.045529
3.282500   436.182470
3.292500   436.607547
3.302500   436.834670
3.312500   436.364735
3.322500   436.233422
3.332500   436.389141
3.342500   436.155352
3.352500   436.006192
3.362500   436.001512
3.372500   435.928986
3.382500   436.135584
3.392500   436.469562
3.402500   436.661535
3.412500   436.864644
3.422500   437.038150
3.432500   437.000043
3.442500   436.723197
3.452500   436.534766
3.462500   436.306367
3.472500   435.984576
3.482500   435.950286
3.492500   435.959833
3.502500   436.304463
3.512500   436.474478
3.522500   436.433066
3.532500   436.575626
3.542500   436.762411
3.552500   436.831208
3.562500   436.716741
3.572500   436.656188
3.582500   436.635077
3.592500   436.653040
3.602500   436.701412
3.612500   436.734162
3.622500   436.745098
3.632500   436.897666
3.642500   436.843035
3.652500   437.008846
3.662500   437.162481
3.672500   437.101281
3.682500   437.235257
3.692500   436.913287
3.702500   435.575954
3.712500   432.086757
3.722500   421.525922
3.732500   367.294373
3.742500   348.538579
3.752500   348.949217
3.762500   348.414033
3.772500   347.881086
3.782500   347.499486
3.792500   347.513679
3.802500   347.323235
3.812500   347.168905
3.822500   347.250429
3.832500   347.528842
3.842500   347.550488
3.852500   347.368490
3.862500   347.380101
3.872500   347.340404
3.882500   347.319863
3.892500   347.246743
3.902500   347.127576
3.912500   347.019735
3.922500   347.082835
3.932500   347.255422
3.942500   347.406552
3.952500   347.416863
3.962500   347.491871
3.972500   347.472204
3.982500   347.437541
3.992500   347.543077
4.002500   347.545593
4.012500   347.579794
4.022500   347.595146
4.032500   347.612593
4.042500   347.596133
4.052500   347.718937
4.062500   347.809767
4.072500   347.773059
4.082500   347.687709
4.092500   347.806449
4.102500   347.874124
4.112500   347.757933
4.122500   347.695222
4.132500   347.758281
4.142500   347.678121
4.152500   347.601362
4.162500   347.488146
4.172500   347.280819
4.182500   347.214963
4.192500   347.230223
4.202500   347.564733
4.212500   347.933118
4.222500   348.247487
4.232500   348.498696
4.242500   348.489049
4.252500   348.442969
4.262500   348.343849
4.272500   348.392231
4.282500   348.347376
4.292500   348.255783
4.302500   348.325718
4.312500   348.305160
4.322500   348.136396
4.332500   347.845489
4.342500   347.361380
4.352500   346.858792
4.362500   346.691006
4.372500   346.656906
4.382500   346.797180
4.392500   347.204184
4.402500   347.773103
4.412500   348.356649
4.422500   348.671546
4.432500   348.969648
4.442500   348.937179
4.452500   348.736761
4.462500   348.606927
4.472500   348.590998
4.482500   348.562187
4.492500   348.555770
4.502500   348.386592
4.512500   348.104812
4.522500   347.773965
4.532500   347.459799
4.542500   347.307777
4.552500   347.119603
4.562500   347.056655
4.572500   347.299143
4.582500   347.660338
4.592500   347.956474
4.602500   348.371476
4.612500   348.751178
4.622500   348.957419
4.632500   348.968886
4.642500   348.776159
4.652500   348.478808
4.662500   348.344176
4.672500   348.478368
4.682500   348.542166
4.692500   348.248364
4.702500   347.912485
4.712500   347.536341
4.722500   347.207162
4.732500   346.978466
4.742500   346.813977
4.752500   346.899840
4.762500   347.163912
4.772500   347.743346
4.782500   348.371549
4.792500   348.717066
4.802500   348.994599
4.812500   349.128167
4.822500   349.165489
4.832500   349.183692
4.842500   349.077051
4.852500   348.941599
4.862500   348.608637
4.872500   348.264057
4.882500   347.874113
4.892500   347.454186
4.902500   347.215949
4.912500   347.167993
4.922500   347.182387
4.932500   347.274126
4.942500   347.454366
4.952500   347.811311
4.962500   348.173260
4.972500   348.682315
4.982500   348.981060
4.992500   348.905825
5.002500   348.806019
5.012500   348.799275
5.022500   348.538127
5.032500   348.180585
5.042500   348.043106
5.052500   347.758470
5.062500   347.287720
5.072500   346.926978
5.082500   346.651679
5.092500   346.694172
5.102500   346.887471
5.112500   347.016321
5.122500   347.288600
5.132500   347.664741
5.142500   348.123883
5.152500   348.525587
5.162500   348.607751
5.172500   348.562678
5.182500   348.468159
5.192500   348.436673
5.202500   348.428602
5.212500   348.404082
5.222500   348.256507
5.232500   348.005758
5.242500   347.727032
5.252500   347.512886
5.262500   347.418671
5.272500   347.404938
5.282500   347.499899
5.292500   347.556542
5.302500   347.695599
5.312500   347.908322
5.322500   348.012313
5.332500   347.985631
5.342500   348.171553
5.352500   348.322402
5.362500   348.407048
5.372500   348.554673
5.382500   348.544727
5.392500   348.514574
5.402500   348.399114
5.412500   348.266581
5.422500   347.975982
5.432500   347.632388
5.442500   347.294160
5.452500   347.029968
5.462500   346.826916
5.472500   346.759532
5.482500   346.864468
5.492500   347.241887
5.502500   347.601977
5.512500   347.978511
5.522500   348.387804
5.532500   348.642106
5.542500   348.469201
5.552500   348.163483
5.562500   347.946886
5.572500   347.939516
5.582500   347.864454
5.592500   347.685609
5.602500   347.442768
5.612500   347.221721
5.622500   347.031346
5.632500   346.946085
5.642500   346.825755
5.652500   347.066521
5.662500   347.332750
5.672500   347.524183
5.682500   347.742443
5.692500   347.685999
5.702500   347.744141
5.712500   347.947691
5.722500   348.074744
5.732500   347.961943
5.742500   347.819052
5.752500   347.782067
5.762500   347.832108
5.772500   347.813199
5.782500   347.742439
5.792500   347.474853
5.802500   347.062934
5.812500   346.764336
5.822500   346.697089
5.832500   346.757060
5.842500   346.887693
5.852500   347.022094
5.862500   347.344591
5.872500   347.753021
5.882500   348.079848
5.892500   348.255814
5.902500   348.415832
5.912500   348.382940
5.922500   348.260232
5.932500   348.065727
5.942500   347.782952
5.952500   347.506892
5.962500   347.287106
5.972500   347.063261
5.982500   346.845281
5.992500   346.757667
6.002500   346.749676
6.012500   346.664432
6.022500   346.853995
6.032500   347.088008
6.042500   347.525649
6.052500   347.814027
6.062500   347.677548
6.072500   347.065707
6.082500   345.750250
6.092500   339.995972
6.102500   330.942814
6.112500   329.420310
6.122500   328.627034
6.132500   328.095321
6.142500   327.697478
6.152500   327.388840
6.162500   327.438151
6.172500   327.449562
6.182500   327.517379
6.192500   327.523762
6.202500   327.325100
6.212500   327.172713
6.222500   327.134349
6.232500   327.224603
6.242500   327.431349
6.252500   327.670892
6.262500   327.759870
6.272500   327.740865
6.282500   327.724770
6.292500   327.699009
6.302500   327.656045
6.312500   327.668476
6.322500   327.716595
6.332500   327.788959
6.342500   327.822901
6.352500   327.814496
6.362500   327.710753
6.372500   327.675643
6.382500   327.655629
6.392500   327.672511
6.402500   327.742901
6.412500   327.839495
6.422500   327.887657
6.432500   327.937253
6.442500   328.024352
6.452500   328.058510
6.462500   328.096112
6.472500   328.023975
6.482500   328.063059
6.492500   328.064319
6.502500   328.045494
6.512500   328.040517
6.522500   328.046545
6.532500   328.116819
6.542500   328.156776
6.552500   328.137819
6.562500   328.075870
6.572500   328.066436
6.582500   328.096144
6.592500   328.290389
6.602500   328.435188
6.612500   328.452409
6.622500   328.366798
6.632500   328.345147
6.642500   328.316328
6.652500   328.372225
6.662500   328.453257
6.672500   328.398590
6.682500   328.469031
6.692500   328.607265
6.702500   328.618673
6.712500   328.667470
6.722500   328.723767
6.732500   331.213188
6.742500   339.917265
6.752500   366.569048
6.762500   369.446858
6.772500   368.161419
6.782500   367.960819
6.792500   367.979125
6.802500   367.987266
6.812500   368.171785
6.822500   368.024083
6.832500   368.025149
6.842500   367.957713
6.852500   367.802257
6.862500   367.629998
6.872500   367.507561
6.882500   367.595305
6.892500   367.876075
6.902500   367.867251
6.912500   367.883561
6.922500   368.068809
6.932500   368.051769
6.942500   368.266000
6.952500   368.500228
6.962500   368.709195
6.972500   368.756221
6.982500   368.872570
6.992500   368.955117
7.002500   368.903635
7.012500   368.943371
7.022500   369.087962
7.032500   369.094575
7.042500   369.003767
7.052500   368.932018
7.062500   368.880514
7.072500   368.928382
7.082500   369.067752
7.092500   369.079497
7.102500   369.081242
7.112500   369.150120
7.122500   369.070559
7.132500   369.092266
7.142500   369.201478
7.152500   369.422074
7.162500   369.452542
7.172500   369.381495
7.182500   369.375859
7.192500   369.293335
7.202500   369.097143
7.212500   368.985566
7.222500   368.930128
7.232500   368.766425
7.242500   368.953406
7.252500   376.391249
7.262500   404.145212
7.272500   409.164473
